"ID"	"First_Author"	"NIST_Author"	"Journal"	"Year"	"Volume"	"m_1st_Page"	"PDF_Avail"	"Instrument"	"CHRNS_"	"Title"	"Second_Author"	"Third_Author"	"m_4th_Plus_Authors"	"Topic"	"Subtopic"	"Abstract"
457	"Wilson KS"	1	"Journal of Biomedical Materials Research A"	"2007"	"81"	"113"	1	"NG7SANS and USANS"	"CHRNS"	"Interphase Effects in Dental Nanocomposites Investigated by Small-Angle Neutron Scattering"	"Allen AJ"	"Washburn NR"	"Antonnucci JM"			
458	"Zhou J"	1	"Nucleic Acids Research"	"2005"	"33 (19)"	"6361"	1	"NG7SANS"	"NOT CHRNS"	"A coarse graining approach to determine nucleic acid structures from small angle neutron scattering profiles in solution"	"Krueger S"	"Gregurick SK"				
459	"Graves S"	1	"Journal of Chemical Physics"	"2005"	"122 (13)"	"134703"	1	"NG7SANS"	"NOT CHRNS"	"Structure of Concentrated Nanoemulsions"	"Meleson K"	"Wilking J"	"Lin MY, Mason TG"			
461	"Wilking JN"	1	"Physical Review Letters"	"2006"	"96 (1)"	"015501"	1	"NG7SANS"	"NOT CHRNS"	"Dense Cluster Formation during Aggregation and Gelation of Attractive Slippery Nanoemulsion Droplets"	"Graves SM"	"Chang CB"	"Meleson K, Lin MY, Mason TG"			
462	"Dean KM"	1	"European Polymer Journal"	"2006"	"42 (10)"	"2872"	1	"NG1SANS"	"NOT CHRNS"	"Small Angle Neutron Scattering and Dynamic Mechanical Thermal Analysis of Dimethacrylate/epoxy IPNs"	"Cook WD"	"Lin MY"				
463	"Pal D"	0	"Physical Review B"	"2006"	"73 (1)"	"012513"	1	"NG3SANS"	"CHRNS"	"Measuring the penetration depth anisotropy in MgB2 using small-angle neutron scattering"	"DeBeer-Schmitt L"	"Bera T"	"Cubitt R, Dewhurst DD, Jun J, Zhigadlo ND, Karpinski J, Kogan VG, Eskildsen MR"			
464	"Eitouni HB"	0	"Macromolecules"	"2007"	"Submitted"		0	"NG7SANS"	"NOT CHRNS"	"Electrochemically Controlled Self-Assembly of an Organometallic Block Copolymer"	"Balsara NP"					
465	"Yehtiraj M"	1	"Physical Review B"	"2005"	"72 (6)"	"060504"	1	"NG7SANS"	"NOT CHRNS"	"Temperature and field dependance on flux-line-lattice symmetry in V3Si"	"Christen DK"	"Gapud AA"	"Paul DMcK, Crowe SJ, Dewhurst CD, Cubitt R, Porcar L, Gurevich A"			
466	"Mildner DFR"	1	"Journal of Applied Crystallography"	"2005"	"38 (6)"	"979"	1	"NG3SANS"	"CHRNS"	"A refractive focusing lens system for small-angle neutron scattering"	"Hammouda B"	"Kline SR"				
467	"Castro-Roman F"	0	"European Physical Journal"	"2005"	"18 (3)"	"259"	0			"Quantitative analysis of lyotropic lamellar phases SANS patterns in powder oriented samples"	"Porcar L"	"Porte G"	"Porte G, Ligour, C"			
468	"Cramer JT"	1	"Applied Physics Letters"	"2005"	"87 (16)"	"161913"	1	"NG7SANS"	"NOT CHRNS"	"Imaging hydrogenous materials with a neutron microscope"	"Piestrup MA"	"Park H"	"Gary CK, Pantell RH, Glinka CJ, Barker JG"			
469	"Bitton R"	0	"Langmuir"	"2005"	"21 (25)"	"11888"	1	"NG7SANS"	"NOT CHRNS"	"Self-Assembly of Model DNA-Binding Peptide Amphiphiles"	"Schmidt J"	"Biesalski M"	"Tu R, Tirrell M, Bianco-Peled H"			
470	"Liang K"	0	"Chemistry of Materials"	"2006"	"18 (2)"	"301"	1	"NG7SANS"	"NOT CHRNS"	"Cyanate Ester/Polyhedral Oligomeric Silsesquioxane (POSS) Nanocomposites: Synthesis and Characterization"	"Li G"	"Toghiani H"	"Koo JH, Pittman CU"			
471	"Yun SI"	0	"Macromolecules"	"2006"	"39 (2)"	"897"	1	"NG3SANS"	"CHRNS"	"Solution Properties of 1,3-Cyclohexadiene Polymers by Laser Light Scattering and Small-Angle Neutron Scattering"	"Terao K"	"Hong K"	"Melnichenko YB, Wignall GD, Britt PF, Mays JW"			
472	"Owen T"	0	"Langmuir"	"2005"	"21 (26)"	"12109"	1	"NG3SANS"	"CHRNS"	"Micelle-to-Vesicle Transition of an Iron-Chelating Microbial Surfactant, Marinobactin E"	"Pynn R"	"Martinex JS"	"Butler A"			
473	"Zhu Z"	0	"Langmuir"	"2006"	"22 (3)"	"949"	1	"NG7SANS"	"NOT CHRNS"	"Polymerization of Anionic Wormlike Micelles"	"Gonzalez YI"	"Xu H"	"Kaler EW, Liu S"			
474	"Rubatat L"	0	"Macromolecules"	"2006"	"39 (2)"	"720"	1	"NG7SANS"	"NOT CHRNS"	"Structural Study of Proton-Conducting Fluorous Block Copolymer Membranes"	"Shi Z"	"Diat O"	"Holdcraft S, Frisken BJ"			
475	"Xu T"	0	"Macromolecules"	"2005"	"38 (26)"	"10788"	1	"NG3SANS"	"CHRNS"	"Electric Field Alignment of Asymmetric Diblock Copolymer Thin Films"	"Zvelindovsky AV"	"Sevink GJA"	"Lyakhova KS, Jinnai H, Russell TP"			
477	"Wu L"	0	"Macromolecules"	"2006"	"39 (1)"	"294"	1	"NG7SANS"	"NOT CHRNS"	"SANS Determination of Chain Conformation in Perpendicular-Aligned Undecablock Copolymer Lamellae"	"Lodge TP"	"Bates FS"				
478	"Garvey CJ"	0	"Physica B"	"2006"	"385-386 (2)"	"877"	0	"USANS"	"CHRNS"	"USANS study of wood structure"	"Knott RB"	"Searson M"	"Conroy JP"			
479	"Connolly J"	1	"Journal of Petroleum Science and Engineering"	"2006"	"53 (3-4)"	"171"	1	"USANS"	"CHRNS"	"Comparison of the Structure on the Nanoscale of Natural Oil-bearing and Synthetic Rock"	"Bertram W"	"Barker J"	"Buckley C, Edwards T, Knott R"			
480	"Wysouzil BE"	0	"Physical Chemistry Chemical Physics"	"2006"	"8 (1)"	"54"	1	"NG7SANS"	"NOT CHRNS"	"Experimental evidence for internal structure in aqueous–organic nanodroplets"	"Wilemski G"	"Strey R"	"Heath CH, Dieregsweiler U"			
481	"Lee JS"	0	"Macromolecules"	"2006"	"39 (15)"	"5113"	1	"NG3SANS"	"CHRNS"	"Effects of Branch Points and Chain Ends on the Thermodynamics Interaction Parameter in Binary Blends of Regularly-Branched and Linear Polymers"	"Foster MD"	"Wu DT"				
482	"Shang T"	0	"Langmuir"	"2006"	"22 (4)"	"1436"	1	"NG3SANS"	"CHRNS"	"Self-Assembly of a Nonionic Photoresponsive Surfactant under Varying Irradiation Conditions: A Small-Angle Neutron Scattering and Cryo-TEM Study"	"Smith KA"	"Hatton TA"				
483	"Ruegg M"	0	"Macromolecules"	"2006"	"39 (3)"	"1125"	1	"NG7SANS"	"NOT CHRNS"	"Microphase and Macrophase Separation in Multicomponent A/B/A-C Polymer Blends with Attractive and Repulsive Interactions"	"Reynolds BJ"	"Lin MY"	"Lohse DJ, Balsara NP"			
485	"Norman AI"	0	"Journal of Chemical Physics"	"2005"	"123 (15)"	"154904"	1	"NG3SANS"	"CHRNS"	"The polymerization of actin: structural changes from small-angle neutron scattering"	"Ivkov R"	"Forbes JG"	"Greer SC"			
486	"Krishnamurthy L-N"	0	"Journal of Rheology"	"2005"	"49 (2)"	"475"	1	"NG3SANS"	"CHRNS"	"The Influence of Weak Attractive Forces on the Microstructure and Rheology of Colloidal Dispersions"	"Wagner NJ"					
487	"Fry D"	1	"Physical Review Letters"	"2005"	"95 (3)"	"038304"	0	"NG1SANS"	"NOT CHRNS"	"Anisotropy of Sheared Carbon Nanotube Suspensions"	"Langhorst B"	"Kim H"	"Grulke E, Wang H, Hobbie EK"			
488	"Loizou E"	1	"Macromolecules"	"2006"	"39 (4)"	"1614"	1	"NG7SANS"	"NOT CHRNS"	"Dynamic Responses in Nanocomposite Hydrogels"	"Butler P"	"Porcar L"	"Schmidt G"			
489	"Fedeyko JM"	0	"Microporous and Mesoporous Materials"	"2006"	"90 (1-3)"	"102"	1	"NG3SANS"	"CHRNS"	"Understanding the differences between microporous and mesoporous synthesis through the phase behavior of silica"	"Vlachos DA"	"Lobo RF"				
490	"Hough LA"	1	"Nano Letters"	"2006"	"6 (2)"	"313"	1	"NG3SANS"	"CHRNS"	"Structure of Semidilute Single-Wall Carbon Nanotube Suspensions and Gels"	"Islam MF"	"Hammouda B"	"Yodh AG, Heiney PA"			
491	"Zhou N"	0	"Journal of Physical Chemistry B"	"2006"	"110 (9)"	"3979"	1	"NG7SANS"	"NOT CHRNS"	"Influence of Conformational Asymmetry on the Phase Behavior of Ternary Homopolymer/Block Copolymer Blends around the Bicontinuous Microemulsion Channel"	"Lodge TP"	"Bates FS"				
492	"Kim TH"	1	"Langmuir"	"2006"	"22 (6)"	"2844"	1	"NG3SANS"	"CHRNS"	"Polymerized Rodlike Nanoparticles with Controlled Surface Charge Density"	"Choi S-M"	"Kline SR"				
494	"Stefanescu EA"	1	"Physical Chemistry Chemical Physics"	"2006"	"8 (14)"	"1738"	1	"NG7SANS"	"NOT CHRNS"	"Supramolecular structures in nanocomposite multilayered films"	"Dundigalla A"	"Ferreiro V"	"Loizou E, Porcar L, Negulescu I, Garno J, Schmidt G"			
495	"Libertore MW"	1	"Physical Review E"	"2006"	"73 (2)"	"020504"	1	"NG7SANS"	"NOT CHRNS"	"Spatially Resolved small-angle neutron scattering in the 1-2 plane: A study of shear-induced phase-separating wormlike micelles"	"Nettesheim F"	"Wagner NJ"	"Porcar L"			
496	"Lee JH"	0	"Physical Review Letters"	"2006"	"96 (4)"	"048102"	1	"NG1SANS"	"NOT CHRNS"	"Transition from Unilamellar to bilamellar Vesicles Induced by an Amphiphilic Biopolymer"	"Agarwal V"	"Bose Arijit"	"Payne GF, Raghavan SR"			
497	"Gawrys KL"	0	"Energy & Fuels"	"2006"	"20 (2)"	"705"	1	"NG1SANS and NG3SANS"	"CHRNS"	"On the Distribution of Chemical Properties and Aggregation of Solubility Fractions in Asphaltenes"	"Blankenship GA"	"Kilpatrick PK"				
498	"Silverstein MS"	1	"Macromolecules"	"2006"	"39 (8)"	"2998"	1	"NG1SANS and NG7SANS"	"NOT CHRNS"	"SANS and XRR Porosimetry of a Polyphenylene Low-k Dielectric"	"Bauer BJ"	"Hedden RC"	"Lee H-J, Landes BG"			
499	"Bauer BJ"	1	"Macromolecules"	"2006"	"39 (7)"	"2637"	1	"NG7SANS"	"NOT CHRNS"	"Small-Angle Neutron Scattering from Labeled Single-Wall Carbon Nanotubes"	"Hobbie EK"	"Becker ML"				
500	"Kim M-H"	1	"Microporous and Mesoporous Materials"	"2006"	"91 (1-3)"	"305"	1	"NG7SANS and USANS"	"CHRNS"	"Ultra small angle neutron scattering term study of the nanometer to micrometer structure of porous Vycor"	"Glinka CJ"					
501	"Yun SI"	0	"Polymer"	"2006"	"47 (8)"	"2750"	1	"NG3SANS and NG7SANS"	"CHRNS"	"Dilute-solution structure of charged arborescent graft polymer"	"Briber RM"	"Kee RA"	"Gauthier M"			
502	"Farrell DF"	1	"Journal of Magnetism and Magnetic Materials"	"2006"	"303 (2)"	"318"	1	"NG7SANS"	"NOT CHRNS"	"Small angle neutron scattering study of disordered and crystalline iron nanoparticle assemblies"	"Ijiri Y"	"Kelly CV"	"Borchers JA, Rhyne JJ, Ding Y, Majetich SA"			
504	"Bhattacharrya B"	1	"Nano Letters"	"2007"	"Submitted"		0			"A Novel Route for Elaboration of Mesoporous Silica"	"Kline S"	"Cacciaguera T"	"Gonzalez M, Saboungi M-L"			
505	"Thomas SW"	1	"Journal of the American Chemical Society"	"2005"	"127"	"17976"	0			"Perpendicular Organization of Macromolecules: Synthesis and Alignment Studies of a Soluble Poly(iptycene)"	"Long TM"	"Pate BD"	"Kline SR, Thomas EL, Swager TM"			
506	"Tung S-H"	0	"Journal of the American Chemical Society"	"2006"	"128 (7)"	"5751"	1	"NG7SANS"	"NOT CHRNS"	"A New Reverse Wormlike Micellar System: Mixtures of Bile Salt and Lecithin in Organic Liquids"	"Huang Y-E"	"Raghavan SR"				
507	"Rodgers LE"	0	"Journal of Sol-Gel Science and Technology"	"2005"	"33 (1)"	"65"	1	"NG1SANS and NG7SANS"	"NOT CHRNS"	"Effect of Sol-Gel Encapsulation on Lipase Structure and Function: A Small Angle Neutron Scattering Study"	"Hold PJ"	"Knott RB"	"Finnie KS, Bartlett JR, Foster LJR"			
508	"Pencer J"	1	"Journal of Applied Crystallography"	"2006"	"39 (3)"	"293"	1	"NG7SANS"	"NOT CHRNS"	"Method of separated form factors for polydisperse vesicles"	"Krueger S"	"Adams CP"	"Katsaras J"			
509	"Glade SC"	0	"Journal of Nuclear Methods"	"2006"	"351 (1-3)"	"197"	1	"NG1SANS"	"NOT CHRNS"	"Positron annihilation spectroscopy and small angle neutron scattering characterization of nanostructural features in high-nickel model reactor pressure vessel steels"	"Wirth BD"	"Odette GR"	"Asoka-Kumar P"			
511	"Sen S"	1	"Physical Review Letters"	"2007"	"98 (12)"	"128302"	1	"NG3SANS"	"CHRNS"	"Chain Conformations and Bound Layer Correlations in Polymer Nanocomposites"	"Xie Y"	"Kumar SK"	"Yang H, Bansal A, Ho DL, Hall L, Hooper JB, Schweizer KS"			
512	"Chen W-R"	1	"Langmuir"	"2006"	"22 (15)"	"6539"	1	"NG7SANS"	"NOT CHRNS"	"Incorporating Intermicellar Interactions in the Fitting of SANS Data from CationicWormlike Micelles"	"Butler PD"	"Magid LJ"				
513	"Gerber MJ"	0	"Langmuir"	"2006"	"22 (3)"	"941"	1	"NG3SANS"	"CHRNS"	"Controlling Dimensions of Polymerized Micelles: Micelle Template versus Reaction Conditions"	"Walker LM"					
514	"Davies TS"	0	"Journal of the American Chemical Society"	"2006"	"128 (20)"	"6669"	1	"NG1SANS"	"NOT CHRNS"	"Self-Assembly of Surfactant Vesicles that Transform into Viscoelastic Wormlike Micelles upon Heating"	"Ketner AM"	"Raghavan SR"				
515	"Mason TG"	1	"Journal of Physical Chemistry B"	"2006"	"110 (44)"	"22097"	1	"NG7SANS"	"NOT CHRNS"	"Effective Structure Factor of Osmotically Deformed Nanoemulsions"	"Graves SM"	"Wilking JN"	"Lin MY"			
516	"Kulkarni A"	1	"Materials Science and Engineering: A"	"2006"	"426 (1-2)"	"43"	1	"NG3SANS"	"CHRNS"	"Advanced neutron and X-ray techniques for insights into the microstructure of EB-PVD thermal barrier coatings"	"Goland A"	"Herman H"	"Allen AJ, Dobbins T, DeCarlo F, Ilavsky J, Long GG, Fang S, Lawton P"			
517	"Matos MA"	0	"Journal of Colloidal and Interfacial Science"	"2006"	"300 (1)"	"429"	1	"NG3SANS"	"CHRNS"	"Electroosmotically enhanced mass transfer through polyacrylamide gels"	"White LR"	"Tilton RD"				
518	"Wang H"	0	"Polymer"	"2006"	"47 (14)"	"4897"	1	"NG3SANS"	"CHRNS"	"SANS study of the early stages of crystallization in polyethylene solutions"						
520	"Jennings HM"	0	"Cement and Concrete Research"	"2007"	"37 (3)"	"329"	1	"NG3SANS"	"CHRNS"	"A multi-technique investigation of the nanoporosity of cement paste"	"Thomas JT"	"Gevrenov JS"	"Constantinides G"	"Ulm F-J"		
521	"Lee D"	0	"Molecular Cell"	"2006"	"22 (3)"	"423"	0			"RAP Uses a Histidine Switch to Regulate Its Interaction with LRP in the ER and Golgi"						
522	"Wang H"	0	"Applied Physics Letters"	"2006"	"88 (21)"	"213111"	1	"NG7SANS"	"NOT CHRNS"	"Order in vertically aligned carbon nanotube arrays"	"Xu Z"	"Eres G"				
523	"Mason PE"	1	"Journal of Physical Chemistry B"	"2006"	"110 (27)"	"13477"	1	"NG3SANS and IGOR"	"CHRNS"	"Nanometer-Scale Ion Aggregates in Aqueous Electrolyte Solutions: Guanidinium Carbonate"	"Neilson GW"	"Kline SR"	"Dempsey CE, Brady JW"			
524	"Kim M-H"	1	"Macromolecules"	"2006"	"39 (14)"	"4775"	1	"NG3SANS, NG7SANS and USANS"	"CHRNS"	"SANS Study of the Effects of Water Vapor Sorption on the Nanoscale Structure of Perfluorinated Sulfonic Acid (NAFION) Membranes"	"Glinka CJ"	"Grot SA"	"Grot WG"			
525	"Chrichton MA"	0	"Materials Research Society Symposium Proceedings"	"2005"	"840"	"Q7.11.1"	1	"NG7SANS and USANS"	"CHRNS"	"USANS as a Probe of Large-Scale Structure in Attractive Colloidal Glasses of Block Copolymer Micelles"	"Forbes NS"	"Bhatia SR"				
526	"Bauer BJ"	1	"Materials Research Society Symposium Proceedings"	"2006"	"922"	"0922-U09-01"	1	"NG1SANS and NG7SANS"	"NOT CHRNS"	"Chromatographic Separation of Single Wall Carbon Nanotubes"	"Bajpai V"	"Fagan JA"	"Becker ML, Hobbie EK"			
527	"Loizou E"	1	"Materials Research Society Symposium Proceedings"	"2006"	"840"	"Q2.7.1"	1	"NG7SANS"	"NOT CHRNS"	"Dynamic Responses in Polymer-Clay Gels"	"Porcar L"	"Butler P"	"Malwitz M, Schmidt G"			
528	"Liu L"	0	"Chemistry Communications"	"2005"	"36"	"4517"	1	"NG3SANS"	"CHRNS"	"A simple extrusion method for the sythesis of aligned silica nanorwires using the template of a rigid surfactant mesophase"	"Tan G"	"Agarwal V"	"Bose A, He J, McPherson Gl, John VT"			
530	"Lee YS"	0	"Industrial and Engineering Chemistry Research"	"2006"	"45 (21)"	"7015"	1	"NG3SANS"	"CHRNS"	"Rheological Properties and Small-Angle Neutron Scattering of a Shear Thickening, Nanoparticle Dispersion at High Shear Rates"	"Wagner NJ"					
531	"Jeng US"	1	"Physica B"	"2006"	"385-386 (2)"	"865"	1	"NG7SANS"	"NOT CHRNS"	"Contrast variation SANS for the solution structure of the ß-amyloid peptide 1–40 influenced by SDS surfactants"	"Lin T-L"	"Lim JM"	"Ho DL"			
532	"Hammouda B"	1	"Biophysical Journal"	"2006"	"91"	"2237"	1	"NG3SANS"	"CHRNS"	"The Denaturation Transition of DNA in Mixed Solvents"	"Worcester D"					
534	"Rappl T"	0	"Journal of Chemical Physics"	"2005"	"122 (21)"	"214903"	1	"NG7SANS"	"NOT CHRNS"	"Does coarsening begin during the initial stages of spinodal decomposition?"	"Balsara NP"					
535	"Ruegg M"	0	"Macromolecules"	"2007"	"40 (4)"	"1207"	1	"IGOR and NG7SANS"	"NOT CHRNS"	"Minimizing the Concentration of Diblock Copolymer Needed to Organize Blends of Immiscible Polymers by Tuning Attractive and Repulsive Interactions"	"Reynolds BJ"	"Lin MY"	"Lohse DJ, Balsara NP"			
536	"George M"	0	"Langmuir"	"2006"	"22 (18)"	"7885"	1	"NG7SANS"	"NOT CHRNS"	"Organogels with Fe(III) Complexes of Phosphorus-Containing Amphiphiles as Two-Component Isothermal Gelators"	"Funkhouser GP"	"Terech P"	"Weiss RG"			
537	"Burford RP"	0	"Physica B"	"2006"	"385-386 (1)"	"766"	1	"NG1SANS and IGOR"	"NOT CHRNS"	"Real-time SANS study of interpenetrating polymer network (IPN) formation"	"Markotsis MG"	"Knott RB"				
538	"Healy J"	0	"Physica B"	"2006"	"385-386 (1)"	"620"	1	"NG1SANS"	"NOT CHRNS"	"Residual orientation in injection micro-molded samples"	"Edward GH"	"Knott RB"				
539	"Foster LJR"	0	"Physica B"	"2006"	"385-386 (1)"	"770"	1	"NG1SANS and NG3SANS"	"CHRNS"	"Polyhydroxyalkanoate-based natural–synthetic hybrid copolymer films: A small-angle neutron scattering study"	"Knott RB"	"Sanguanchaipaiwong V"	"Holden PJ"			
540	"Sun Y-S"	0	"Physica B"	"2006"	"385-386 (1)"	"650"	1	"NG1SANS"	"NOT CHRNS"	"Complementary SAXS and SANS for structural characteristics of a polyurethethane elastomer of low hard-segment content"	"Jeng U-S"	"Huang Y-S"	"Liang KS, Lin T-L, Tsao C-S"			
541	"Lee JH"	0	"Journal of Materials Chemistry"	"2006"	"16 (27)"	"2785"	1	"NG3SANS and NG7SANS"	"CHRNS"	"Magnetic uniaxial alignment of the columnar superstructure of discotic metallomesogens over the centimetre length scale"	"Choi S-M"	"Pate BD"	"Chisholm MH, Han Y-S"			
542	"Davis TM"	0	"Nature Materials"	"2006"	"5"	"400"	1	"NG7SANS"	"NOT CHRNS"	"Mechanistic principles of nanoparticle evolution to zeolite crystals"	"Drews TO"	"Ramanan H"	"He C, Dong J, Schnablegger H, Katsoulakis MA, Kokkoli E, McCormick AV, Penn RL, Tsapatsis M"			
543	"Kang S"	1	"Journal of Applied Physics"	"2006"	"99 (8)"	"08N704"	1	"NG3SANS"	"CHRNS"	"Sintering behavior of spin-coated FePt and FePtAu nanoparticles"	"Jia Z"	"Zoto I"	"Reed D, Nikles DE, Harrell JW, Thompson G, Mankey G, Krishnamurthy VV, Porcar L"			
544	"Pozzo DC"	0	"Colloids & Surfaces A"	"2007"	"294 (1-3)"	"117"	1	"NG3SANS and NG7SANS"	"CHRNS"	"Small-angle neutron scattering of silica nanoparticles templated in PEO-PPO-PEO cubic crystals"	"Walker LM"					
545	"Loizou E"	1	"Macromolecular Bioscience"	"2006"	"6 (9)"	"711"	1	"NG7SANS"	"NOT CHRNS"	"Structural Effects of Crosslinking a Biopolymer Hydrogel Derived from Marine Mussel Adhesive Protein"	"Weisser JT"	"Dundigalla A"	"Porcar L, Schmidt G, Wilker JJ"			
546	"Gnaeupel-Herold T"	1	"Material Science and Engineering A"	"2006"	"421 (1-2)"	"77"	1	"USANS"	"CHRNS"	"Microstructure, mechanical properties, and adhesion in IN625 air plasma sprayed coatings"	"Prask HJ"	"Barker J"	"Biancaniello FS, Jiggetts RD, Matejicek J"			
547	"Dave H"	0	"Colloids & Surfaces A"	"2007"	"296 (1-3)"	"45"	1	"NG3SANS"	"CHRNS"	"Phase Behavior and SANS Investigations of Edible Sugar-Limonase Microemulsions"	"Gao F"	"Schultz M"	"Co CC"			
548	"Knott R"	1	"Physica B"	"2006"	"385-386 (2)"	"908"	1	"NG1SANS, NG7SANS and IGOR"	"NOT CHRNS"	"Preliminary SANS studies of the structure of nickel powders on the nanoscale"	"Lin MY"	"Hanley HJM"	"Muir D"			
549	"Paskevicius M"	0	"Journal of Applied Crystallography"	"2006"	"39 (5)"	"676"	1	"NG3SANS"	"CHRNS"	"Analysis of polydisperse bubbles in the aluminium-hydrogen system using a size-dependent contrast"	"Buckley CE"					
551	"Kitchens CL"	0	"Journal of Physical Chemistry B"	"2006"	"110 (41)"	"20392"	1	"NG1SANS"	"NOT CHRNS"	"Solvent Effects on AOT Reverse Micelles in Liquid and Compressed Alkanes Investigated by Neutron Spin-Echo Spectroscopy"	"Bossev DP"	"Roberts CB"				
552	"Fratini E"	0	"Journal of Physics: Condensed Matter"	"2006"	"18"	"S2467"	1	"USANS"	"CHRNS"	"Hydration water and microstructure in calcium silicate and aluminum hydrates"	"Ridi F"	"Chen S-H"	"Baglioni P"			
553	"Gao J"	0	"Macromolecules"	"2006"	"39 (23)"	"8060"	1	"NG7SANS"	"NOT CHRNS"	"Self-Assembly of Latex Particles into Proton-Conductive Membranes"	"Yang Y"	"Lee D"	"Holdcroft S, Frisken BJ"			
554	"Sheu EY"	0	"Journal of Physics: Condensed Matter"	"2006"	"18"	"S2485"	1	"NG7SANS"	"NOT CHRNS"	"Small angle scattering and asphaltenes"						
555	"Li J"	1	"Macromolecular Rapid Communications"	"2006"	"27 (20)"	"1787"	1	"NG3SANS and NG7SANS"	"CHRNS"	"Effect of Temperature on Shear-Induced Anisotropic Structure in Polymer Clay Hydrogels"	"Jiang J"	"Li C"	"Lin MY, Schwarz SA, Rafailovich MH, Sokolov J"			
556	"Mehta R"	0	"Macromolecules"	"2006"	"39 (25)"	"8799"	1	"NG3SANS"	"CHRNS"	"Small Angle Neutron Scattering Studies on Miscible Blends of Poly(styrene-ran-vinyl phenol) with Liquid Crystalline Polyurethane"	"Dadmun MD"					
557	"Fagan JA"	1	"Journal of Physical Chemistry B"	"2006"	"110 (47)"	"23801"	1	"NG7SANS"	"NOT CHRNS"	"Comparative Measures of Single-Wall Carbon Nanotube Dispersion"	"Landi BJ"	"Mandelbaum I"	"Simpson JR, Bajpai V, Bauer BJ, Migler K, Hight Walker AR, Raffaelle R, Hobbie EK"			
558	"Nieh M-P"	0	"Langmuir"	"2006"	"22 (26)"	"11028"	1	"NG7SANS"	"NOT CHRNS"	"Spontaneously Forming Ellipsoidal Phospholipid Unilamellar Vesicles and Their Interactions with Helical Domains of Saposin C"	"Pencer J"	"Katsaras J"	"Qi X"			
559	"Dee D"	1	"Biochemistry"	"2006"	"45 (47)"	"13982"	1	"NG3SANS"	"CHRNS"	"Comparison of Solution Structures and Stabilities of Native, Partially Unfolded and Partially Refolded Pepsin"	"Pencer J"	"Nieh M-P"	"Krueger S, Katsaras J, Yada RY"			
560	"Horkay F"	0	"Journal of Polymer Science B"	"2006"	"44 (24)"	"3679"	1	"NG3SANS"	"CHRNS"	"Similarities between polyelectrolyte gels and biopolymer solutions"	"Hecht A-M"	"Geissler E"				
